+ _ _ _ _ _ _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ + _ _ _ _ _ _ _ _ _ + + _ _ _ _ _ _ _ _ _ _ _ _ + 
| . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | | _ _ _ _ _ _ _ _ _ _ _ _ | 
| ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . . . . . . . . . . . | 
| ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . . . . . . . . . . . | 
| ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . . . . . . . . . . . | 
| ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . F R O G G E R ! . . | 
| ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; | | . . . v . 0 . 1 . . . . | 
| ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ ; ; ; | | . . . . . . . . . . . . | 
| ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . . . . . . . . . . . | 
| ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; @ @ @ @ ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; | | . . . . . . . . . . . . | 
| . . . O O . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | | . . . . . . . . . . . . | 
| . . . v v . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | | . . . . . . . . . . . . | 
+ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ + + _ _ _ _ _ _ _ _ _ _ _ _ + 
